Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
RELIANCE,02-Jan-2025,30-Jan-2025,CE,1180.00,59.30,77.50,59.30,74.25,72.80,74.25,243.00,1516.46,82.76,111500.00,-51500.00,1241.80
RELIANCE,02-Jan-2025,30-Jan-2025,CE,1360.00,1.35,2.05,1.35,1.90,1.85,1.90,1333.00,9075.80,11.40,639500.00,4000.00,1241.80
RELIANCE,02-Jan-2025,30-Jan-2025,CE,1370.00,1.15,1.65,1.10,1.55,1.50,1.55,881.00,6041.01,6.16,340500.00,-29500.00,1241.80
RELIANCE,02-Jan-2025,30-Jan-2025,CE,1190.00,53.70,68.60,51.35,65.95,65.15,65.95,204.00,1273.33,59.53,68500.00,-18000.00,1241.80
RELIANCE,02-Jan-2025,30-Jan-2025,CE,1380.00,1.10,1.50,1.00,1.40,1.35,1.40,437.00,3018.06,2.76,410000.00,-49000.00,1241.80
RELIANCE,02-Jan-2025,30-Jan-2025,CE,1390.00,0.95,1.25,0.90,1.20,1.10,1.20,220.00,1530.19,1.19,161500.00,19000.00,1241.80
RELIANCE,02-Jan-2025,30-Jan-2025,CE,1200.00,46.00,61.20,44.50,57.60,56.55,57.60,5270.00,32979.64,1359.64,1893500.00,-210500.00,1241.80
RELIANCE,02-Jan-2025,30-Jan-2025,CE,1210.00,39.05,52.80,37.25,49.90,48.50,49.90,3269.00,20508.60,731.15,3136000.00,-14500.00,1241.80
RELIANCE,02-Jan-2025,30-Jan-2025,CE,1400.00,0.80,1.05,0.75,1.00,0.95,1.00,3401.00,23822.01,15.01,5619000.00,-145500.00,1241.80
RELIANCE,02-Jan-2025,30-Jan-2025,CE,1220.00,35.05,45.60,31.50,42.40,41.35,42.40,13552.00,85211.93,2544.73,2513000.00,-1113000.00,1241.80
RELIANCE,02-Jan-2025,30-Jan-2025,CE,1410.00,0.70,1.00,0.65,0.95,0.90,0.95,93.00,656.04,0.39,149000.00,-4000.00,1241.80
RELIANCE,02-Jan-2025,30-Jan-2025,CE,1420.00,0.80,0.90,0.60,0.75,0.80,0.75,277.00,1967.75,1.05,428000.00,60000.00,1241.80
RELIANCE,02-Jan-2025,30-Jan-2025,CE,1230.00,26.55,38.80,25.85,35.70,34.80,35.70,21635.00,136533.82,3478.57,2344000.00,-461500.00,1241.80
RELIANCE,02-Jan-2025,30-Jan-2025,CE,1240.00,21.75,32.50,21.00,29.65,28.85,29.65,18883.00,119596.11,2521.51,3499500.00,-423000.00,1241.80
RELIANCE,02-Jan-2025,30-Jan-2025,CE,1430.00,0.60,0.70,0.60,0.65,0.65,0.65,106.00,758.24,0.34,77500.00,24000.00,1241.80
RELIANCE,02-Jan-2025,30-Jan-2025,CE,1440.00,0.55,0.65,0.50,0.60,0.65,0.60,119.00,857.15,0.35,407500.00,19000.00,1241.80
RELIANCE,02-Jan-2025,30-Jan-2025,CE,1250.00,18.05,26.50,16.80,24.20,23.55,24.20,17125.00,108884.43,1853.18,5710500.00,-596500.00,1241.80
RELIANCE,02-Jan-2025,30-Jan-2025,CE,1260.00,13.50,21.55,13.40,19.55,18.90,19.55,9997.00,63844.48,863.38,4080500.00,-108000.00,1241.80
RELIANCE,02-Jan-2025,30-Jan-2025,CE,1460.00,0.45,0.70,0.45,0.55,0.50,0.55,87.00,635.32,0.22,336000.00,-18000.00,1241.80
RELIANCE,02-Jan-2025,30-Jan-2025,CE,1480.00,0.40,0.45,0.35,0.40,0.40,0.40,54.00,399.70,0.10,111500.00,20500.00,1241.80
